State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
MD,5529,5075,4300,77.77%,3470,1970,89,649,2428,3084,17,435,106,3470,3060,2704,77.93%,716,392,379,1646,1811,13,102,18,1970,1926,1507,76.50%,270,782,1184,4,319,88,89,89,89,100.00%,0,0,89,0,14,0,1262,1195,1091,86.45%,320,1004,258,0,191,85,7194,7194,6088,84.63%,1237,3560,3634,0,1315,57,2118,1911,1911,623,32.60%,446,1187,724,0,5,5
ME,2734,2428,2243,82.04%,1225,1494,15,435,1333,1381,20,51,138,1225,1071,924,75.43%,0,111,173,558,651,16,12,57,1494,1342,1304,87.28%,262,775,715,4,39,81,15,15,15,100.00%,0,0,15,0,0,0,298,298,298,100.00%,68,214,84,0,0,0,2360,2334,2320,98.31%,307,964,1396,0,327,0,279,89,39,39,43.82%,27,86,3,0,0,0
MI,8531,6544,5872,68.83%,6012,2441,78,1186,3918,4479,134,684,400,6012,4718,4179,69.51%,752,293,758,2663,3246,103,135,129,2441,1748,1615,66.16%,428,1255,1155,31,485,271,78,78,78,100.00%,0,0,78,0,64,0,4099,4070,4068,99.24%,971,3249,850,0,290,199,9662,9625,8123,84.07%,1375,4115,5547,0,2069,25,4722,2777,2777,322,11.60%,540,1885,892,0,91,10
MN,6660,5811,4893,73.47%,4002,2640,18,1172,3616,2938,106,105,785,4002,3333,2986,74.61%,260,86,586,1976,1977,49,9,160,2640,2460,1889,71.55%,586,1640,943,57,96,625,18,18,18,100.00%,0,0,18,0,0,0,2560,2523,2394,93.52%,706,2178,382,0,157,263,10464,10416,8950,85.53%,1619,4793,5620,51,900,377,2494,4287,4244,3913,91.28%,612,2147,2130,10,62,121
MO,5624,3838,2829,50.30%,3730,1843,51,809,2562,2909,153,380,457,3730,2162,1836,49.22%,180,508,490,1643,1974,113,98,153,1843,1625,942,51.11%,319,919,884,40,249,304,51,51,51,100.00%,0,0,51,0,33,0,1472,1366,1311,89.06%,296,998,471,3,358,144,5842,5825,4541,77.73%,816,2574,3268,0,1296,55,3558,148,148,27,18.24%,13,34,114,0,41,0
MS,1079,735,629,58.29%,649,430,0,114,538,515,26,24,44,649,393,315,48.54%,16,18,83,354,269,26,0,31,430,342,314,73.02%,31,184,246,0,24,13,0,0,0,0.00%,0,0,0,0,0,0,794,751,751,94.58%,248,564,230,0,141,41,343,331,259,75.51%,46,128,215,0,80,12,163,0,0,0,0.00%,0,0,0,0,0,0
MT,1376,1081,151,10.97%,1039,337,0,190,846,516,14,109,29,1039,815,43,4.14%,48,116,130,655,380,4,0,4,337,266,108,32.05%,60,191,136,10,109,25,0,0,0,0.00%,0,0,0,0,0,0,654,654,653,99.85%,111,312,318,24,118,52,883,883,372,42.13%,106,264,619,0,511,13,359,14,14,14,100.00%,0,0,14,0,0,0
NC,7963,6603,5313,66.72%,5965,1998,0,827,3136,4760,67,529,155,5965,4689,3811,63.89%,520,387,570,2323,3593,49,125,60,1998,1914,1502,75.18%,257,813,1167,18,404,95,0,0,0,0.00%,0,0,0,0,0,0,2392,2199,2179,91.10%,556,1834,558,0,272,80,6439,6430,4598,71.41%,801,2633,3806,0,2163,0,4220,383,383,383,100.00%,110,333,50,0,50,0
ND,726,494,488,67.22%,455,261,10,95,315,385,26,36,67,455,291,291,63.96%,15,25,49,160,269,26,0,38,261,193,187,71.65%,46,155,106,0,26,29,10,10,10,100.00%,0,0,10,0,10,0,76,76,76,100.00%,6,13,63,0,76,0,517,487,431,83.37%,104,225,292,0,155,0,239,10,10,10,100.00%,0,0,10,0,0,0
NE,2390,2160,1409,58.95%,1686,704,0,282,906,1467,17,89,102,1686,1485,1017,60.32%,0,288,166,579,1090,17,22,17,704,675,392,55.68%,116,327,377,0,67,85,0,0,0,0.00%,0,0,0,0,0,0,896,835,832,92.86%,195,657,239,0,106,60,1240,1240,667,53.79%,149,403,837,0,556,56,517,273,273,114,41.76%,28,75,198,0,51,0
NH,1349,1176,1092,80.95%,819,521,9,257,761,572,16,107,61,819,666,603,73.63%,96,54,125,387,416,16,0,16,521,501,480,92.13%,132,374,147,0,106,45,9,9,9,100.00%,0,0,9,0,1,0,307,307,307,100.00%,66,223,84,0,47,0,1114,1114,718,64.45%,169,552,562,0,382,0,236,87,87,72,82.76%,20,55,32,0,0,0
NJ,7099,6344,5928,83.50%,4624,2455,20,1640,3885,3140,74,369,293,4624,4152,3876,83.82%,277,2137,1147,2534,2022,68,11,143,2455,2172,2032,82.77%,493,1351,1098,6,358,150,20,20,20,100.00%,0,0,20,0,0,0,1695,1695,1650,97.35%,435,1347,348,0,181,36,6759,6706,5357,79.26%,1080,2574,4182,3,1499,220,3776,443,443,427,96.39%,63,178,265,0,13,0
